nombramiento,PLAZA,IdPuesto,ClavePuesto,Puesto,,,,,,,
#N/A,ECB-42-03-003-156-E-00014,110,109,DOCENTE,,,,,ECB-16-02-003-151-EH-00049,575,693
#N/A,ECB-16-02-003-157-E-00008,110,109,DOCENTE,,,,,ECB-16-02-003-151-EH-00007,576,692
#N/A,ECB-10-02-003-150-E-00060,110,109,DOCENTE,,,,,ECB-16-02-003-157-EH-00008,577,694
#N/A,ECB-05-02-003-150-E-00044,110,109,DOCENTE,,,,,ECB-16-02-003-143-EH-00003,578,688
#N/A,ECB-08-03-003-156-E-00006,110,109,DOCENTE,,,,,ECB-16-02-003-143-EH-00020,579,689
#N/A,ECB-10-02-003-144-E-00041,110,109,DOCENTE,,,,,ECB-17-02-002-012-CF-00026,580,721
#N/A,ECB-42-03-003-156-E-00019,110,109,DOCENTE,,,,,ECB-17-02-002-012-CF-00026,581,721
#N/A,ECB-01-03-003-160-E-00001,110,109,DOCENTE,,,,,ECB-17-02-002-041-CF-00062,582,750
#N/A,ECB-18-03-003-158-E-00006,110,109,DOCENTE,,,,,ECB-17-02-002-014-CF-00057,583,751
#N/A,ECB-50-03-003-157-E-00009,110,109,DOCENTE,,,,,ECB-17-02-002-015-CF-00012,584,753
#N/A,ECB-05-02-003-144-E-00005,110,109,DOCENTE,,,,,ECB-17-02-002-015-CF-00132,585,713
#N/A,ECB-10-02-003-144-E-00052,110,109,DOCENTE,,,,,ECB-17-02-002-019-CF-00008,586,717
#N/A,ECB-08-03-003-156-E-00005,110,109,DOCENTE,,,,,ECB-17-02-002-019-CF-00038,587,715
#N/A,ECB-13-02-003-151-E-00019,110,109,DOCENTE,,,,,ECB-17-02-002-021-S1-00035,588,720
#N/A,ECB-22-02-003-144-E-00032,110,109,DOCENTE,,,,,ECB-17-02-002-028-CF-00031,589,743
#N/A,ECB-09-02-003-144-E-00033,110,109,DOCENTE,,,,,ECB-17-02-002-046-CF-00021,590,742
#N/A,ECB-10-02-003-144-E-00049,110,109,DOCENTE,,,,,ECB-17-02-002-046-CF-00019,591,741
#N/A,ECB-26-03-003-158-E-00001,110,109,DOCENTE,,,,,ECB-17-02-002-037-CF-00013,592,746
#N/A,ECB-01-03-003-159-E-00024,110,109,DOCENTE,,,,,ECB-17-02-002-037-CF-00048,593,745
#N/A,ECB-21-03-003-157-E-00010,110,109,DOCENTE,,,,,ECB-17-02-002-037-CF-00024,594,744
#N/A,ECB-10-02-003-154-E-00014,110,109,DOCENTE,,,,,ECB-17-02-002-032-CF-00067,595,748
#N/A,ECB-09-02-003-148-E-00023,110,109,DOCENTE,,,,,ECB-17-02-002-047-T0-00062,596,747
#N/A,ECB-18-03-003-157-E-00012,110,109,DOCENTE,,,,,ECB-17-02-002-036-CF-00069,597,752
#N/A,ECB-07-02-003-158-E-00005,110,109,DOCENTE,,,,,ECB-17-02-002-036-CF-00078,598,749
#N/A,ECB-05-02-003-148-E-00003,110,109,DOCENTE,,,,,ECB-17-02-003-148-EH-00016,599,712
#N/A,ECB-05-02-003-142-E-00001,110,109,DOCENTE,,,,,ECB-17-02-003-150-EH-00020,600,709
#N/A,ECB-17-02-003-150-E-00020,110,109,DOCENTE,,,,,ECB-17-02-003-156-EH-00016,601,711
#N/A,ECB-06-02-003-157-E-00009,110,109,DOCENTE,,,,,ECB-17-02-003-156-EH-00009,602,710
#N/A,ECB-22-02-003-142-E-00010,110,109,DOCENTE,,,,,ECB-17-02-003-151-EH-00023,603,728
#N/A,ECB-06-02-003-157-E-00006,110,109,DOCENTE,,,,,ECB-17-02-003-151-EH-00006,604,727
#N/A,ECB-07-02-003-157-E-00021,110,109,DOCENTE,,,,,ECB-17-02-003-151-EH-00005,605,726
#N/A,ECB-53-02-003-150-E-00021,110,109,DOCENTE,,,,,ECB-17-02-003-157-EH-00011,606,724
#N/A,ECB-45-02-003-150-E-00038,110,109,DOCENTE,,,,,ECB-17-02-003-158-EH-00023,607,725
#N/A,ECB-12-02-003-157-E-00004,110,109,DOCENTE,,,,,ECB-17-02-003-159-EH-00028,608,733
#N/A,ECB-45-02-003-150-E-00043,110,109,DOCENTE,,,,,ECB-17-02-003-159-EH-00016,609,730
#N/A,ECB-12-02-003-157-E-00012,110,109,DOCENTE,,,,,ECB-17-02-003-159-EH-00029,610,734
#N/A,ECB-42-03-003-150-E-00026,110,109,DOCENTE,,,,,ECB-17-02-003-159-EH-00025,611,732
#N/A,ECB-12-02-003-151-E-00032,110,109,DOCENTE,,,,,ECB-17-02-003-159-EH-00012,612,731
#N/A,ECB-30-02-003-151-E-00045,110,109,DOCENTE,,,,,ECB-17-02-003-160-EH-00004,613,739
#N/A,ECB-34-03-003-157-E-00011,110,109,DOCENTE,,,,,ECB-17-02-003-160-EH-00013,614,740
#N/A,ECB-12-02-003-151-E-00036,110,109,DOCENTE,,,,,ECB-17-02-003-143-EH-00006,615,738
#N/A,ECB-16-02-003-151-E-00007,110,109,DOCENTE,,,,,ECB-17-02-003-143-EH-00018,616,736
#N/A,ECB-43-03-003-157-E-00015,110,109,DOCENTE,,,,,ECB-17-02-003-149-EH-00006,617,737
#N/A,ECB-30-02-003-151-E-00042,110,109,DOCENTE,,,,,ECB-18-03-002-012-CF-00011,618,802
#N/A,ECB-12-02-003-151-E-00002,110,109,DOCENTE,,,,,ECB-18-03-002-014-CF-00008,619,798
#N/A,ECB-29-02-003-151-E-00035,110,109,DOCENTE,,,,,ECB-18-03-002-014-CF-00012,620,800
#N/A,ECB-04-03-003-157-E-00001,110,109,DOCENTE,,,,,ECB-18-03-002-014-CF-00004,621,799
#N/A,ECB-06-02-003-151-E-00046,110,109,DOCENTE,,,,,ECB-18-03-002-015-CF-00010,622,796
#N/A,ECB-47-02-003-145-E-00057,110,109,DOCENTE,,,,,ECB-18-03-002-015-CF-00007,623,797
#N/A,ECB-34-03-003-151-E-00028,110,109,DOCENTE,,,,,ECB-18-03-002-018-CF-00010,624,794
#N/A,ECB-55-02-003-150-E-00026,14,13,ANALISTA ADMINISTRATIVO,,,,,ECB-18-03-002-019-CF-00010,625,793
#N/A,ECB-56-02-003-145-E-00047,110,109,DOCENTE,,,,,ECB-18-03-002-019-CF-00034,626,787
#N/A,ECB-17-02-003-158-E-00023,110,109,DOCENTE,,,,,ECB-18-03-002-019-CF-00035,627,788
#N/A,ECB-56-02-003-145-E-00053,110,109,DOCENTE,,,,,ECB-18-03-002-021-S1-00020,628,789
#N/A,ECB-21-03-003-151-E-00004,110,109,DOCENTE,,,,,ECB-18-03-002-021-S1-00011,629,790
#N/A,ECB-16-02-003-151-E-00049,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-18-03-002-021-S1-00018,630,791
#N/A,ECB-42-03-003-150-E-00010,110,109,DOCENTE,,,,,ECB-18-03-002-021-S1-00005,631,792
#N/A,ECB-34-03-003-151-E-00013,110,109,DOCENTE,,,,,ECB-18-03-002-031-CF-00004,632,759
#N/A,ECB-42-03-003-150-E-00012,110,109,DOCENTE,,,,,ECB-18-03-002-046-CF-00002,633,761
#N/A,ECB-21-03-003-151-E-00005,110,109,DOCENTE,,,,,ECB-18-03-002-037-CF-00021,634,754
#N/A,ECB-34-03-003-151-E-00012,110,109,DOCENTE,,,,,ECB-18-03-002-037-CF-00006,635,755
#N/A,ECB-42-03-003-150-E-00007,110,109,DOCENTE,,,,,ECB-18-03-002-032-CF-00009,636,757
#N/A,ECB-21-03-003-151-E-00008,110,109,DOCENTE,,,,,ECB-18-03-002-047-T0-00007,637,756
#N/A,ECB-34-03-003-151-E-00016,110,109,DOCENTE,,,,,ECB-18-03-002-036-S0-00012,638,762
#N/A,ECB-33-02-003-144-E-00009,110,109,DOCENTE,,,,,ECB-18-03-002-036-S0-00013,639,763
#N/A,ECB-43-03-003-151-E-00019,110,109,DOCENTE,,,,,ECB-18-03-002-036-S0-00019,640,764
#N/A,ECB-18-03-003-151-E-00009,110,109,DOCENTE,,,,,ECB-18-03-003-152-EH-00001,641,766
#N/A,ECB-64-02-003-144-E-00056,110,109,DOCENTE,,,,,ECB-18-03-003-154-EH-00005,642,772
#N/A,ECB-01-03-003-159-E-00026,110,109,DOCENTE,,,,,ECB-18-03-003-154-EH-00002,643,769
#N/A,ECB-43-03-003-151-E-00022,110,109,DOCENTE,,,,,ECB-18-03-003-154-EH-00003,644,770
#N/A,ECB-31-02-003-144-E-00047,110,109,DOCENTE,,,,,ECB-18-03-003-154-EH-00004,645,771
#N/A,ECB-26-03-003-151-E-00032,110,109,DOCENTE,,,,,ECB-18-03-003-144-EH-00016,646,765
#N/A,ECB-04-03-003-151-E-00002,110,109,DOCENTE,,,,,ECB-18-03-003-150-EH-00022,647,784
#N/A,ECB-33-02-003-144-E-00023,110,109,DOCENTE,,,,,ECB-18-03-003-150-EH-00011,648,785
#N/A,ECB-18-03-003-151-E-00007,110,109,DOCENTE,,,,,ECB-18-03-003-150-EH-00019,649,786
#N/A,ECB-13-02-003-151-E-00020,110,109,DOCENTE,,,,,ECB-18-03-003-150-EH-00029,650,783
#N/A,ECB-12-02-003-145-E-00018,110,109,DOCENTE,,,,,ECB-18-03-003-156-EH-00009,651,780
#N/A,ECB-31-02-003-144-E-00022,110,109,DOCENTE,,,,,ECB-18-03-003-156-EH-00008,652,779
#N/A,ECB-49-02-003-145-E-00050,110,109,DOCENTE,,,,,ECB-18-03-003-156-EH-00003,653,781
#N/A,ECB-08-03-003-144-E-00011,110,109,DOCENTE,,,,,ECB-18-03-003-151-EH-00009,654,777
#N/A,ECB-29-02-003-145-E-00013,110,109,DOCENTE,,,,,ECB-18-03-003-151-EH-00007,655,776
#N/A,ECB-30-02-003-151-E-00013,110,109,DOCENTE,,,,,ECB-18-03-003-151-EH-00011,656,778
#N/A,ECB-01-03-003-159-E-00023,110,109,DOCENTE,,,,,ECB-18-03-003-157-EH-00012,657,773
#N/A,ECB-08-03-003-144-E-00010,110,109,DOCENTE,,,,,ECB-18-03-003-158-EH-00006,658,775
#N/A,ECB-47-02-003-145-E-00052,110,109,DOCENTE,,,,,ECB-18-03-003-159-EH-00021,659,810
#N/A,ECB-12-02-003-145-E-00016,110,109,DOCENTE,,,,,ECB-18-03-003-159-EH-00018,660,809
#N/A,ECB-13-02-003-151-E-00050,110,109,DOCENTE,,,,,ECB-18-03-003-159-EH-00017,661,808
#N/A,ECB-42-03-003-144-E-00005,110,109,DOCENTE,,,,,ECB-18-03-003-149-EH-00004,662,806
#N/A,ECB-31-02-003-154-E-00009,110,109,DOCENTE,,,,,ECB-18-03-003-155-EH-00002,663,805
#N/A,ECB-44-03-003-151-E-00018,110,109,DOCENTE,,,,,ECB-19-02-002-012-CF-00039,664,821
#N/A,ECB-17-02-003-148-E-00016,110,109,DOCENTE,,,,,ECB-19-02-002-041-CF-00071,665,843
#N/A,ECB-34-03-003-145-E-00010,110,109,DOCENTE,,,,,ECB-19-02-002-014-CF-00079,666,842
#N/A,ECB-45-02-003-148-E-00025,110,109,DOCENTE,,,,,ECB-19-02-002-015-CF-00007,667,839
#N/A,ECB-47-02-003-145-E-00054,110,109,DOCENTE,,,,,ECB-19-02-002-015-CF-00045,668,840
#N/A,ECB-49-02-003-145-E-00068,110,109,DOCENTE,,,,,ECB-19-02-002-018-CF-00029,669,815
#N/A,ECB-33-02-003-148-E-00018,110,109,DOCENTE,,,,,ECB-19-02-002-019-CF-00012,670,814
#N/A,ECB-12-02-003-145-E-00002,110,109,DOCENTE,,,,,ECB-19-02-002-019-CF-00163,671,824
#N/A,ECB-49-02-003-145-E-00065,110,109,DOCENTE,,,,,ECB-19-02-002-021-S1-00106,672,826
#N/A,ECB-07-02-003-145-E-00032,110,109,DOCENTE,,,,,ECB-19-02-002-021-S1-00002,673,823
#N/A,ECB-08-03-003-148-E-00001,110,109,DOCENTE,,,,,ECB-19-02-002-021-S1-00011,674,822
#N/A,ECB-21-03-003-145-E-00004,110,109,DOCENTE,,,,,ECB-19-02-002-028-CF-00012,675,827
#N/A,ECB-12-02-003-145-E-00015,110,109,DOCENTE,,,,,ECB-19-02-002-046-CF-00023,676,828
#N/A,ECB-30-02-003-145-E-00060,110,109,DOCENTE,,,,,ECB-19-02-002-037-CF-00096,677,829
#N/A,ECB-20-02-003-158-E-00027,110,109,DOCENTE,,,,,ECB-19-02-002-032-CF-00018,678,832
#N/A,ECB-06-02-003-145-E-00035,110,109,DOCENTE,,,,,ECB-19-02-002-047-T0-00003,679,830
#N/A,ECB-20-02-003-158-E-00024,110,109,DOCENTE,,,,,ECB-19-02-002-036-CF-00039,680,841
#N/A,ECB-01-03-003-157-E-00005,110,109,DOCENTE,,,,,ECB-19-02-002-036-CF-00079,681,833
#N/A,ECB-43-03-003-145-E-00006,110,109,DOCENTE,,,,,ECB-19-02-002-036-S0-00006,682,834
#N/A,ECB-31-02-003-142-E-00003,110,109,DOCENTE,,,,,ECB-19-02-003-140-EH-00002,683,836
#N/A,ECB-01-03-003-157-E-00004,110,109,DOCENTE,,,,,ECB-19-02-003-140-EH-00001,684,835
#N/A,ECB-31-02-003-142-E-00004,110,109,DOCENTE,,,,,ECB-19-02-003-146-EH-00006,685,838
#N/A,ECB-25-02-003-158-E-00029,110,109,DOCENTE,,,,,ECB-19-02-003-142-EH-00021,686,837
#N/A,ECB-12-02-003-145-E-00026,110,109,DOCENTE,,,,,ECB-19-02-003-148-EH-00008,687,812
#N/A,ECB-35-02-003-158-E-00021,110,109,DOCENTE,,,,,ECB-19-02-003-148-EH-00007,688,811
#N/A,ECB-07-02-003-145-E-00009,110,109,DOCENTE,,,,,ECB-19-02-003-150-EH-00052,689,813
#N/A,ECB-43-03-003-145-E-00014,110,109,DOCENTE,,,,,ECB-19-02-003-159-EH-00031,690,816
#N/A,ECB-06-02-003-156-E-00003,110,109,DOCENTE,,,,,ECB-19-02-003-159-EH-00026,691,817
#N/A,ECB-25-02-003-158-E-00016,110,109,DOCENTE,,,,,ECB-19-02-003-143-EH-00004,692,825
#N/A,ECB-44-03-003-145-E-00009,110,109,DOCENTE,,,,,ECB-20-02-002-012-CF-00032,693,856
#N/A,ECB-13-02-003-145-E-00063,110,109,DOCENTE,,,,,ECB-20-02-002-014-CF-00005,694,844
#N/A,ECB-12-02-003-156-E-00023,110,109,DOCENTE,,,,,ECB-20-02-002-015-CF-00137,695,864
#N/A,ECB-34-03-003-145-E-00013,110,109,DOCENTE,,,,,ECB-20-02-002-018-CF-00026,696,863
#N/A,ECB-43-03-003-145-E-00016,110,109,DOCENTE,,,,,ECB-20-02-002-019-CF-00117,697,855
#N/A,ECB-15-02-003-145-E-00024,110,109,DOCENTE,,,,,ECB-20-02-002-019-CF-00017,698,865
#N/A,ECB-26-03-003-145-E-00002,110,109,DOCENTE,,,,,ECB-20-02-002-021-S1-00037,699,854
#N/A,ECB-35-02-003-157-E-00020,110,109,DOCENTE,,,,,ECB-20-02-002-028-CF-00036,700,852
#N/A,ECB-34-03-003-156-E-00013,110,109,DOCENTE,,,,,ECB-20-02-002-031-CF-00013,701,851
#N/A,ECB-43-03-003-156-E-00015,110,109,DOCENTE,,,,,ECB-20-02-002-046-CF-00024,702,850
#N/A,ECB-70-02-003-145-E-00028,110,109,DOCENTE,,,,,ECB-20-02-002-037-CF-00031,703,853
#N/A,ECB-29-02-003-156-E-00022,110,109,DOCENTE,,,,,ECB-20-02-002-032-CF-00056,704,848
#N/A,ECB-08-03-003-158-E-00011,110,109,DOCENTE,,,,,ECB-20-02-002-047-T0-00061,705,849
#N/A,ECB-35-02-003-157-E-00016,110,109,DOCENTE,,,,,ECB-20-02-002-036-CF-00072,706,847
#N/A,ECB-12-02-003-156-E-00013,110,109,DOCENTE,,,,,ECB-20-02-002-036-S0-00012,707,846
#N/A,ECB-34-03-003-156-E-00012,110,109,DOCENTE,,,,,ECB-20-02-003-146-EH-00004,708,845
#N/A,ECB-29-02-003-156-E-00026,110,109,DOCENTE,,,,,ECB-20-02-003-148-EH-00029,709,870
#N/A,ECB-35-02-003-151-E-00040,110,109,DOCENTE,,,,,ECB-20-02-003-148-EH-00014,710,868
#N/A,ECB-34-03-003-156-E-00016,110,109,DOCENTE,,,,,ECB-20-02-003-148-EH-00017,711,869
#N/A,ECB-36-02-003-151-E-00017,110,109,DOCENTE,,,,,ECB-20-02-003-154-EH-00004,712,871
#N/A,ECB-18-03-003-156-E-00009,110,109,DOCENTE,,,,,ECB-20-02-003-150-EH-00062,713,867
#N/A,ECB-14-02-003-145-E-00064,110,109,DOCENTE,,,,,ECB-20-02-003-156-EH-00010,714,866
#N/A,ECB-06-02-003-150-E-00005,110,109,DOCENTE,,,,,ECB-20-02-003-158-EH-00024,715,861
#N/A,ECB-04-03-003-156-E-00002,110,109,DOCENTE,,,,,ECB-20-02-003-158-EH-00027,716,862
#N/A,ECB-18-03-003-156-E-00008,110,109,DOCENTE,,,,,ECB-20-02-003-159-EH-00027,717,860
#N/A,ECB-06-02-003-150-E-00050,110,109,DOCENTE,,,,,ECB-21-03-002-012-CF-00002,718,881
#N/A,ECB-35-02-003-151-E-00037,110,109,DOCENTE,,,,,ECB-21-03-002-041-CF-00013,719,882
#N/A,ECB-07-02-003-150-E-00042,110,109,DOCENTE,,,,,ECB-21-03-002-014-CF-00017,720,883
#N/A,ECB-35-02-003-151-E-00012,110,109,DOCENTE,,,,,ECB-21-03-002-015-CF-00029,721,886
#N/A,ECB-18-03-003-156-E-00003,110,109,DOCENTE,,,,,ECB-21-03-002-018-CF-00007,722,885
#N/A,ECB-07-02-003-150-E-00015,110,109,DOCENTE,,,,,ECB-21-03-002-019-CF-00042,723,872
#N/A,ECB-21-03-003-156-E-00010,110,109,DOCENTE,,,,,ECB-21-03-002-019-CF-00038,724,877
#N/A,ECB-06-02-003-144-E-00006,110,109,DOCENTE,,,,,ECB-21-03-002-019-CF-00028,725,876
#N/A,ECB-23-02-003-159-E-00045,110,109,DOCENTE,,,,,ECB-21-03-002-021-S1-00027,726,874
#N/A,ECB-43-03-003-156-E-00018,110,109,DOCENTE,,,,,ECB-21-03-002-021-S1-00003,727,873
#N/A,ECB-05-02-003-159-E-00018,110,109,DOCENTE,,,,,ECB-21-03-002-021-S1-00023,728,875
#N/A,ECB-66-02-003-145-E-00043,110,109,DOCENTE,,,,,ECB-21-03-002-028-CF-00011,729,901
#N/A,ECB-06-02-003-144-E-00026,110,109,DOCENTE,,,,,ECB-21-03-002-031-CF-00010,730,898
#N/A,ECB-21-03-003-150-E-00005,110,109,DOCENTE,,,,,ECB-21-03-002-046-CF-00005,731,899
#N/A,ECB-06-02-003-144-E-00010,110,109,DOCENTE,,,,,ECB-21-03-002-037-CF-00029,732,903
#N/A,ECB-34-03-003-150-E-00018,110,109,DOCENTE,,,,,ECB-21-03-002-037-CF-00002,733,902
#N/A,ECB-06-02-003-144-E-00001,110,109,DOCENTE,,,,,ECB-21-03-002-032-A0-00003,734,900
#N/A,ECB-43-03-003-150-E-00024,110,109,DOCENTE,,,,,ECB-21-03-002-047-T0-00011,735,896
#N/A,ECB-56-02-003-144-E-00039,110,109,DOCENTE,,,,,ECB-21-03-002-036-S0-00034,736,888
#N/A,ECB-43-03-003-150-E-00008,110,109,DOCENTE,,,,,ECB-21-03-002-036-S0-00004,737,897
#N/A,ECB-35-02-003-145-E-00048,110,109,DOCENTE,,,,,ECB-21-03-003-154-EH-00001,738,887
#N/A,ECB-57-02-003-144-E-00044,110,109,DOCENTE,,,,,ECB-21-03-003-150-EH-00005,739,889
#N/A,ECB-44-03-003-150-E-00030,110,109,DOCENTE,,,,,ECB-21-03-003-156-EH-00010,740,890
#N/A,ECB-34-03-003-150-E-00014,110,109,DOCENTE,,,,,ECB-21-03-003-145-EH-00004,741,894
#N/A,ECB-34-03-003-150-E-00015,110,109,DOCENTE,,,,,ECB-22-02-003-150-EH-00030,754,924
#N/A,ECB-29-02-003-144-E-00051,110,109,DOCENTE,,,,,ECB-21-03-003-151-EH-00008,742,891
#N/A,ECB-35-02-003-145-E-00034,110,109,DOCENTE,,,,,ECB-33-02-002-015-CF-00136,1015,1243
#N/A,ECB-50-03-003-145-E-00005,110,109,DOCENTE,,,,,ECB-21-03-003-151-EH-00005,743,893
#N/A,ECB-07-02-003-144-E-00020,110,109,DOCENTE,,,,,ECB-22-02-003-145-EH-00055,756,925
#N/A,ECB-35-02-003-145-E-00069,110,109,DOCENTE,,,,,ECB-21-03-003-151-EH-00004,744,892
#N/A,ECB-13-02-003-156-E-00043,110,109,DOCENTE,,,,,ECB-21-03-003-157-EH-00010,745,895
#N/A,ECB-06-02-003-154-E-00019,110,109,DOCENTE,,,,,ECB-22-02-003-145-EH-00062,757,926
#N/A,ECB-34-03-003-150-E-00020,110,109,DOCENTE,,,,,ECB-22-02-002-012-CF-00010,746,933
#N/A,ECB-12-02-003-154-E-00018,110,109,DOCENTE,,,,,ECB-22-02-002-014-CF-00013,747,909
#N/A,ECB-34-03-003-150-E-00017,110,109,DOCENTE,,,,,ECB-22-02-003-159-EH-00034,758,928
#N/A,ECB-36-02-003-145-E-00011,110,109,DOCENTE,,,,,ECB-22-02-002-021-S1-00056,748,913
#N/A,ECB-04-03-003-150-E-00003,110,109,DOCENTE,,,,,ECB-22-02-002-028-CF-00010,749,918
#N/A,ECB-04-03-003-150-E-00025,110,109,DOCENTE,,,,,ECB-22-02-003-159-EH-00022,759,927
#N/A,ECB-29-02-003-154-E-00005,110,109,DOCENTE,,,,,ECB-22-02-002-046-CF-00018,750,920
#N/A,ECB-25-02-003-145-E-00014,110,109,DOCENTE,,,,,ECB-22-02-002-037-CF-00006,751,917
#N/A,ECB-34-03-003-150-E-00028,110,109,DOCENTE,,,,,ECB-22-02-003-160-EH-00006,760,916
#N/A,ECB-35-02-003-145-E-00029,110,109,DOCENTE,,,,,ECB-22-02-003-144-EH-00032,752,921
#N/A,ECB-18-03-003-150-E-00022,110,109,DOCENTE,,,,,ECB-22-02-003-150-EH-00051,753,923
#N/A,ECB-29-02-003-148-E-00012,110,109,DOCENTE,,,,,ECB-22-02-003-149-EH-00005,761,915
#N/A,ECB-04-03-003-150-E-00006,110,109,DOCENTE,,,,,ECB-23-02-002-012-CF-00056,762,938
#N/A,ECB-12-02-003-148-E-00019,110,109,DOCENTE,,,,,ECB-23-02-002-015-CF-00133,763,942
#N/A,ECB-36-02-003-145-E-00017,110,109,DOCENTE,,,,,ECB-23-02-002-019-CF-00022,764,941
#N/A,ECB-44-03-003-150-E-00009,110,109,DOCENTE,,,,,ECB-23-02-002-019-CF-00096,765,935
#N/A,ECB-06-02-003-148-E-00027,110,109,DOCENTE,,,,,ECB-23-02-002-021-S1-00029,766,936
#N/A,ECB-26-03-003-150-E-00021,110,109,DOCENTE,,,,,ECB-23-02-002-028-CF-00035,767,947
#N/A,ECB-25-02-003-145-E-00007,110,109,DOCENTE,,,,,ECB-23-02-002-037-CF-00042,768,948
#N/A,ECB-06-02-003-148-E-00028,110,109,DOCENTE,,,,,ECB-23-02-002-037-S1-00018,769,952
#N/A,ECB-26-03-003-150-E-00002,110,109,DOCENTE,,,,,ECB-23-02-002-032-CF-00083,770,950
#N/A,ECB-01-03-003-151-E-00030,110,109,DOCENTE,,,,,ECB-23-02-002-047-T0-00007,771,951
#N/A,ECB-18-03-003-150-E-00029,110,109,DOCENTE,,,,,ECB-23-02-002-036-CF-00081,772,954
#N/A,ECB-12-02-003-142-E-00040,110,109,DOCENTE,,,,,ECB-23-02-003-150-EH-00023,773,943
#N/A,ECB-34-03-003-150-E-00013,110,109,DOCENTE,,,,,ECB-23-02-003-150-EH-00040,774,944
#N/A,ECB-25-02-003-156-E-00038,110,109,DOCENTE,,,,,ECB-23-02-003-156-EH-00017,775,945
#N/A,ECB-18-03-003-150-E-00019,110,109,DOCENTE,,,,,ECB-23-02-003-159-EH-00045,776,940
#N/A,ECB-06-02-003-142-E-00026,110,109,DOCENTE,,,,,ECB-23-02-003-143-EH-00011,777,949
#N/A,ECB-44-03-003-150-E-00027,110,109,DOCENTE,,,,,ECB-24-02-002-012-CF-00045,778,975
#N/A,ECB-01-03-003-151-E-00015,110,109,DOCENTE,,,,,ECB-24-02-002-014-CF-00006,779,957
#N/A,ECB-34-03-003-150-E-00016,110,109,DOCENTE,,,,,ECB-24-02-002-018-CF-00022,780,970
#N/A,ECB-35-02-003-156-E-00015,110,109,DOCENTE,,,,,ECB-24-02-002-019-CF-00015,781,971
#N/A,ECB-34-03-003-144-E-00007,110,109,DOCENTE,,,,,ECB-24-02-002-021-S1-00007,782,976
#N/A,ECB-01-03-003-151-E-00014,110,109,DOCENTE,,,,,ECB-24-02-002-021-S1-00111,783,962
#N/A,ECB-57-02-003-142-E-00034,110,109,DOCENTE,,,,,ECB-24-02-002-028-CF-00033,784,964
#N/A,ECB-18-03-003-144-E-00016,110,109,DOCENTE,,,,,ECB-24-02-002-046-CF-00007,785,965
#N/A,ECB-36-02-003-156-E-00036,110,109,DOCENTE,,,,,ECB-24-02-002-037-CF-00051,786,963
#N/A,ECB-04-03-003-144-E-00002,110,109,DOCENTE,,,,,ECB-24-02-002-032-CF-00014,787,959
#N/A,ECB-34-03-003-144-E-00012,110,109,DOCENTE,,,,,ECB-24-02-002-047-T0-00051,788,960
#N/A,ECB-43-03-003-144-E-00018,110,109,DOCENTE,,,,,ECB-24-02-002-047-T0-00025,789,961
#N/A,ECB-04-03-003-144-E-00009,110,109,DOCENTE,,,,,ECB-24-02-002-036-CF-00011,790,958
#N/A,ECB-44-03-003-144-E-00006,110,109,DOCENTE,,,,,ECB-24-02-003-150-EH-00057,791,968
#N/A,ECB-28-02-003-157-E-00018,14,13,ANALISTA ADMINISTRATIVO,,,,,ECB-24-02-003-156-EH-00020,792,966
#N/A,ECB-42-03-003-157-E-00016,13,12,ANALISTA ADMINISTRATIVA,,,,,ECB-24-02-003-156-EH-00024,793,967
#N/A,ECB-11-02-003-156-E-00006,110,109,DOCENTE,,,,,ECB-24-02-003-151-EH-00034,794,974
#N/A,ECB-20-02-003-156-E-00010,110,109,DOCENTE,,,,,ECB-24-02-003-151-EH-00010,795,973
#N/A,ECB-35-02-003-156-E-00035,110,109,DOCENTE,,,,,ECB-25-02-002-014-CF-00011,796,1001
#N/A,ECB-36-02-003-150-E-00012,110,109,DOCENTE,,,,,ECB-25-02-002-015-CF-00129,797,987
#N/A,ECB-20-02-003-150-E-00062,110,109,DOCENTE,,,,,ECB-25-02-002-018-CF-00036,798,986
#N/A,ECB-35-02-003-150-E-00056,110,109,DOCENTE,,,,,ECB-25-02-002-021-S1-00001,799,977
#N/A,ECB-52-02-003-150-E-00065,110,109,DOCENTE,,,,,ECB-25-02-002-021-S1-00108,800,994
#N/A,ECB-35-02-003-150-E-00055,110,109,DOCENTE,,,,,ECB-25-02-002-037-S1-00020,801,996
#N/A,ECB-52-02-003-150-E-00006,110,109,DOCENTE,,,,,ECB-25-02-002-037-S1-00025,802,997
#N/A,ECB-11-02-003-150-E-00004,110,109,DOCENTE,,,,,ECB-25-02-002-032-CF-00007,803,995
#N/A,ECB-35-02-003-150-E-00045,110,109,DOCENTE,,,,,ECB-25-02-002-047-T0-00001,804,998
#N/A,ECB-54-02-003-144-E-00037,110,109,DOCENTE,,,,,ECB-25-02-002-036-CF-00048,805,1000
#N/A,ECB-54-02-003-144-E-00038,110,109,DOCENTE,,,,,ECB-25-02-003-142-EH-00002,806,1003
#N/A,ECB-52-02-003-144-E-00053,110,109,DOCENTE,,,,,ECB-25-02-003-144-EH-00011,807,990
#N/A,ECB-25-02-003-144-E-00019,110,109,DOCENTE,,,,,ECB-25-02-003-144-EH-00019,808,989
#N/A,ECB-35-02-003-144-E-00046,110,109,DOCENTE,,,,,ECB-25-02-003-144-EH-00012,809,991
